run_id,num_features,cv_accuracy,selected_features,feature_mask,time_seconds,KNN_recall,KNN_f1,KNN_auc,SVM_recall,SVM_f1,SVM_auc,Naive Bayes_recall,Naive Bayes_f1,Naive Bayes_auc,Random Forest_recall,Random Forest_f1,Random Forest_auc,Gradient Boosting_recall,Gradient Boosting_f1,Gradient Boosting_auc,XGBoost_recall,XGBoost_f1,XGBoost_auc,LightGBM_recall,LightGBM_f1,LightGBM_auc
1,5,0.8685767790262172,"22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",148.568696975708,0.8841111321469141,0.8715562601962271,0.923537485800833,0.9020967436577054,0.8949413626209978,0.9369556985990155,0.8364729269216206,0.8158914728682171,0.8960857629685726,0.9278445664521016,0.9221428529708956,0.941901741764483,0.9350388110564181,0.9318097721706342,0.9510365391897007,0.9422330556607346,0.9415743612464924,0.9492261453994699,0.9137637258614162,0.9051962217735385,0.9428246876183263
2,7,0.8379724668488713,"14,21,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0",146.11584615707397,0.8547661870503598,0.8403760158538884,0.9102967625899281,0.8679714123438091,0.8602891689294252,0.9255963650132526,0.7780906853464596,0.756911210742252,0.8334674365770542,0.9314416887542598,0.9269645482285829,0.9387542597500946,0.9350388110564181,0.9318097721706342,0.9459721696327149,0.9422330556607346,0.9415743612464924,0.9445522529344945,0.9278445664521016,0.9221428529708956,0.9385412722453617
3,6,0.8505749569794514,"6,22,23,24,25,26","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",144.2318241596222,0.8778398333964408,0.8682803622723516,0.9164379023097311,0.890122112836047,0.8825894231718865,0.9331455887921243,0.837963839454752,0.81624344931513,0.8962750851950019,0.9296431276031807,0.9245508141493544,0.9463863120030291,0.9314416887542598,0.9269645482285829,0.9517938280954183,0.9386359333585763,0.936679409321969,0.9512850246118895,0.9245550927678909,0.9195208684259779,0.946185157137448
4,8,0.8294361777507845,"9,17,20,22,23,24,25,26","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0",140.2834029197693,0.8311245740249905,0.8180674671240709,0.9003455130632336,0.8793307459295722,0.8686084254342725,0.9302347595607724,0.8349820143884892,0.8155298155298155,0.8945001893222264,0.9422330556607346,0.9415743612464924,0.9436174744414993,0.9296431276031807,0.9245508141493544,0.9455698599015525,0.9371450208254448,0.9364938709201005,0.9444812570995834,0.9176684967815222,0.9120967694832691,0.9369556985990155
5,6,0.8568843000303674,"14,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",143.80413389205933,0.872751798561151,0.8633098099052705,0.9167810488451343,0.8940268837561529,0.8893411940857197,0.9306134040136312,0.7783983339644074,0.7586655890804598,0.8346507004922378,0.9278445664521016,0.9221428529708956,0.9318794964028777,0.9368373722074972,0.9342414831545267,0.9472737599394169,0.9422330556607346,0.9415743612464924,0.9456171904581598,0.9116575160923892,0.9007134775681729,0.9441026126467247
6,6,0.8568843000303674,"14,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",147.17182087898254,0.872751798561151,0.8633098099052705,0.9167810488451343,0.8940268837561529,0.8893411940857197,0.9306134040136312,0.7783983339644074,0.7586655890804598,0.8346507004922378,0.9245550927678909,0.9195208684259779,0.9369320333207118,0.9314416887542598,0.9269645482285829,0.9506342294585385,0.9422330556607346,0.9415743612464924,0.9456171904581598,0.9116575160923892,0.9007134775681729,0.9441026126467247
7,8,0.8258305496507745,"6,16,17,22,23,24,25,26","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0",143.4745328426361,0.8191026126467247,0.7972790948275862,0.8781711472926921,0.857487694055282,0.8483981528040273,0.9227801968951154,0.8385791366906474,0.8200226244343891,0.8934115865202574,0.938943581976524,0.938943581976524,0.9443274327906097,0.9314416887542598,0.9269645482285829,0.9465638015903066,0.9386359333585763,0.936679409321969,0.9472500946611132,0.9125804619462325,0.907073727739456,0.9376419916698221
8,6,0.8433657252758376,"7,22,23,24,25,26","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",156.3902530670166,0.857487694055282,0.8483981528040273,0.9069836236274138,0.8999905338886786,0.8905092592592593,0.9391802347595609,0.8400700492237789,0.8203842940685045,0.8953521393411586,0.9314416887542598,0.9269645482285829,0.9456053578190079,0.9260460053010224,0.9197405566832318,0.954278682317304,0.9425407042786823,0.9438628972916518,0.9491551495645589,0.9035876561908368,0.895216876697069,0.9374763347216963
9,8,0.8375270776394371,"13,16,22,23,24,25,26,29","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0",153.13993215560913,0.8550738356683074,0.8422886484503943,0.9038953048087845,0.8715685346459674,0.86492460908414,0.9206384892086331,0.7694528587656191,0.7557706288622319,0.8257762211283605,0.9332402499053389,0.929384164222874,0.9420319007951533,0.9314416887542598,0.9269645482285829,0.9442682695948504,0.9368373722074972,0.9342414831545267,0.9447889057175313,0.9137637258614162,0.9051962217735385,0.9360327527451723
10,8,0.8375301143840469,"17,20,22,23,24,25,26,31","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1",160.80848717689514,0.8323078379401742,0.8166311300639659,0.8903942635365392,0.8796383945475199,0.8706018518518519,0.9222595607724345,0.8128313138962515,0.7938882654471018,0.8862410071942446,0.9317493373722074,0.9291831357048748,0.9406474820143885,0.9368373722074972,0.9342414831545267,0.9441499432033321,0.9422330556607346,0.9415743612464924,0.9458538432411965,0.9107819007951534,0.9046919110613378,0.9382809541840212
