Model,F1-Score,Recall,AUC-ROC,Train_Time(s),Test_Time(s)
Random Forest,0.9501803173901722,0.9503875968992248,0.9487778198493836,0.3249380588531494,0.011534929275512695
Gradient Boosting,0.9396233393309749,0.9395348837209302,0.9512127140392949,0.4921081066131592,0.0018050670623779297
Naive Bayes,0.7897525011781837,0.7891472868217054,0.8738482897892212,0.001619100570678711,0.00016188621520996094
SVM (RBF),0.8339321054013267,0.8310077519379845,0.8941478396230385,0.16197609901428223,0.029809951782226562
XGBoost,0.9472337674242138,0.9472868217054263,0.9511759013841559,0.5267319679260254,0.0014331340789794922
LightGBM,0.9424886054569043,0.9426356589147287,0.9521225125163026,2.0618820190429688,0.007132053375244141
Extra Trees,0.9239930157573939,0.924031007751938,0.9440237283857124,0.3026769161224365,0.02451491355895996
CatBoost,0.9518147775449739,0.951937984496124,0.9558353317346123,0.3714609146118164,0.0005540847778320312
