run_id,num_features,cv_accuracy,selected_features,feature_mask,time_seconds,KNN_recall,KNN_f1,KNN_auc,SVM_recall,SVM_f1,SVM_auc,Naive Bayes_recall,Naive Bayes_f1,Naive Bayes_auc,Random Forest_recall,Random Forest_f1,Random Forest_auc,Gradient Boosting_recall,Gradient Boosting_f1,Gradient Boosting_auc,XGBoost_recall,XGBoost_f1,XGBoost_auc,LightGBM_recall,LightGBM_f1,LightGBM_auc
1,9,0.8505068140212895,"4,7,14,16,22,23,24,25,26","0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",41.831096172332764,0.8404723589549413,0.8399645547186532,0.9039899659219992,0.8584579704657327,0.8632668366581671,0.9340921999242712,0.7590638015903066,0.7586767094963816,0.8584579704657326,0.9443392654297614,0.9463327370304114,0.9431796667928816,0.938943581976524,0.938943581976524,0.9462088224157517,0.9443392654297614,0.9463327370304114,0.9445404202953426,0.94284835289663,0.9461663656037058,0.9499242711094283
2,9,0.8580751237372025,"2,11,12,13,22,23,24,25,26","0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",39.9182710647583,0.8350766755017038,0.8330745341614907,0.8977304998106778,0.8443771298750473,0.8464285714285715,0.9236321469140477,0.7530528209011738,0.7491892396350994,0.8600435441120787,0.9425407042786823,0.9438628972916518,0.948492521772056,0.9368373722074972,0.9342414831545267,0.9490604884513443,0.9443392654297614,0.9463327370304114,0.9449072321090496,0.9476287391139719,0.948966270265138,0.950586898901931
3,8,0.8755288494135195,"1,9,21,22,23,24,25,26","0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0",39.177685022354126,0.8554288148428626,0.8533079239600978,0.9028303672851192,0.8668354789852328,0.8712142994057888,0.9263299886406663,0.7416934873154108,0.7398669086509377,0.8630726997349488,0.9410497917455509,0.9436904761904762,0.9381862930708066,0.9386359333585763,0.936679409321969,0.9441972737599393,0.9443392654297614,0.9463327370304114,0.942339549413101,0.9425407042786823,0.9438628972916518,0.9418070806512685
4,12,0.8348040545121703,"0,3,6,12,14,16,17,22,23,24,25,26","1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0",37.06950116157532,0.8057790609617569,0.8093971631205674,0.8704680992048466,0.8453000757288907,0.8519739822078887,0.9091489965922,0.7656427489587277,0.7644474026777247,0.8588129496402879,0.9395588792124195,0.9435142945854929,0.9433926542976145,0.9386359333585763,0.936679409321969,0.9425170390003786,0.9425407042786823,0.9438628972916518,0.941262779250284,0.9359617569102613,0.9385714285714286,0.9402215070049224
5,9,0.8644738626347548,"3,8,15,18,22,23,24,25,26","0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0",37.43465995788574,0.8317872018174934,0.8303008169828769,0.8926187996970845,0.8321421809920485,0.8404996017050672,0.9213839454751988,0.7452906096175691,0.7441848136607547,0.8653209011737979,0.94284835289663,0.9461663656037058,0.9456645210147671,0.9422330556607346,0.9415743612464924,0.9480547141234381,0.9443392654297614,0.9463327370304114,0.9454042029534266,0.9374526694433927,0.9387595243181657,0.9412154486936767
6,9,0.8627245914977287,"14,16,19,22,23,24,25,26,29","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0",37.56862282752991,0.8371828852707308,0.8371828852707308,0.8983457970465731,0.8725388110564181,0.8803387779794314,0.9265903067020068,0.7536681181370692,0.7521409749670619,0.8561624384702764,0.9461378265808406,0.9488095238095238,0.9492024801211663,0.9404344945096554,0.9391236639059957,0.9488829988640667,0.9425407042786823,0.9438628972916518,0.9468951154865581,0.94284835289663,0.9461663656037058,0.9424697084437713
7,8,0.8813478879924063,"5,14,22,23,24,25,26,30","0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0",38.577824115753174,0.8692020068156001,0.8681012717963239,0.9179643127603181,0.8590732677016282,0.8671062120119502,0.9269216205982582,0.7569575918212799,0.755020292613019,0.860090874668686,0.9425407042786823,0.9438628972916518,0.9390737410071943,0.9422330556607346,0.9415743612464924,0.9470726050738356,0.9443392654297614,0.9463327370304114,0.9438777925028399,0.9425407042786823,0.9438628972916518,0.945735516849678
8,11,0.8412146586209236,"8,11,14,19,22,23,24,25,26,27,28","0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0",37.864378213882446,0.8117427110942825,0.8117427110942825,0.8788929382809542,0.8446847784929952,0.8482755321121218,0.9157871071563801,0.7569575918212799,0.755020292613019,0.8572037107156381,0.9410497917455509,0.9436904761904762,0.9492853085952291,0.9422330556607346,0.9415743612464924,0.9480073835668308,0.9443392654297614,0.9463327370304114,0.9474985800833018,0.9425407042786823,0.9438628972916518,0.9489776599772812
9,7,0.8819292833412435,"14,18,22,23,24,25,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0",37.58515191078186,0.8757809541840212,0.8735413137587051,0.9160119273002649,0.8656522150700492,0.8727495636523955,0.9279865581219235,0.7605547141234381,0.7593817554234822,0.8607771677394926,0.9410497917455509,0.9436904761904762,0.9425288716395305,0.9404344945096554,0.9391236639059957,0.9504212419538053,0.9443392654297614,0.9463327370304114,0.9467886217341918,0.9359617569102613,0.9385714285714286,0.9529297614539947
10,11,0.8435334598955861,"3,6,8,14,22,23,24,25,26,27,28","0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0",37.51702117919922,0.8087608860280198,0.8105952380952381,0.8737575728890572,0.8453000757288907,0.8519739822078887,0.9133140855736464,0.7557743279060962,0.7557743279060962,0.8617001135933359,0.9461378265808406,0.9488095238095238,0.9390737410071941,0.9386359333585763,0.936679409321969,0.9454751987883377,0.9443392654297614,0.9463327370304114,0.9463034835289663,0.9392512305944718,0.9412215691285459,0.9422330556607347
