Model,F1-Score,Recall,AUC-ROC,Train_Time(s),Test_Time(s)
Random Forest,0.9487594856771587,0.9488372093023256,0.9455698599015524,0.4483199119567871,0.008971929550170898
Gradient Boosting,0.9465511260402607,0.9465116279069767,0.94632714880727,0.20363497734069824,0.0010046958923339844
Naive Bayes,0.7730554456796016,0.772093023255814,0.8634513441878077,0.0012691020965576172,0.0002040863037109375
SVM (RBF),0.8240483148174121,0.8209302325581396,0.8864066641423702,0.20146417617797852,0.0212249755859375
KNN (k=5),0.8504589342061925,0.8511627906976744,0.9059068534645969,0.0015990734100341797,0.007523059844970703
XGBoost,0.953344407530454,0.9534883720930233,0.9426353653918971,0.22623109817504883,0.0009169578552246094
LightGBM,0.9438276475386816,0.9441860465116279,0.9426826959485043,0.5363001823425293,0.0019440650939941406
Extra Trees,0.930126571377944,0.9302325581395349,0.9361629117758425,0.20955204963684082,0.011528968811035156
CatBoost,0.9487594856771587,0.9488372093023256,0.9449545626656569,0.37250399589538574,0.00037598609924316406
