run_id,num_features,cv_accuracy,selected_features,feature_mask,time_seconds,KNN_recall,KNN_f1,KNN_auc,SVM_recall,SVM_f1,SVM_auc,Naive Bayes_recall,Naive Bayes_f1,Naive Bayes_auc,Random Forest_recall,Random Forest_f1,Random Forest_auc,Gradient Boosting_recall,Gradient Boosting_f1,Gradient Boosting_auc,XGBoost_recall,XGBoost_f1,XGBoost_auc,LightGBM_recall,LightGBM_f1,LightGBM_auc
1,9,0.87029120618347,"2,3,22,23,24,25,26,27,31","0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1",41.57690405845642,0.8324024990533889,0.8338870431893688,0.0,0.8482819007951534,0.8529473526323684,0.0,0.736913101098069,0.7362025435926476,0.0,0.9410497917455509,0.9436904761904762,0.0,0.9386359333585763,0.936679409321969,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9392512305944718,0.9412215691285459,0.0
2,10,0.8382975116957082,"2,3,7,13,16,22,23,24,25,26","0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0",38.09761881828308,0.8581029912911775,0.8522207659822338,0.0,0.8653445664521016,0.8707963750871374,0.0,0.736913101098069,0.7362025435926476,0.0,0.9461378265808406,0.9488095238095238,0.0,0.9404344945096554,0.9391236639059957,0.0,0.9425407042786823,0.9438628972916518,0.0,0.9410497917455509,0.9436904761904762,0.0
3,11,0.8435317648654147,"3,8,14,16,22,23,24,25,26,29,31","0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1",37.96604299545288,0.7809541840212041,0.786690865093769,0.0,0.8384134797425218,0.844443372564152,0.0,0.7623532752745172,0.7615676836318162,0.0,0.9461378265808406,0.9488095238095238,0.0,0.9404344945096554,0.9391236639059957,0.0,0.9443392654297614,0.9463327370304114,0.0,0.94284835289663,0.9461663656037058,0.0
4,9,0.8691318055461388,"5,14,22,23,24,25,26,27,28","0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0",58.00288510322571,0.8425785687239682,0.8441093789930999,0.0,0.8524943203332072,0.8614176867273534,0.0,0.7539757667550171,0.7535962191699896,0.0,0.938943581976524,0.938943581976524,0.0,0.9404344945096554,0.9391236639059957,0.0,0.9425407042786823,0.9438628972916518,0.0,0.9476287391139719,0.948966270265138,0.0
5,10,0.8522679503695165,"7,8,11,12,18,22,23,24,25,26","0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0",37.839897871017456,0.8327101476713366,0.8356779478850701,0.0,0.8500804619462325,0.8552919400975938,0.0,0.7596317682695948,0.7548631794489948,0.0,0.9410497917455509,0.9436904761904762,0.0,0.9422330556607346,0.9415743612464924,0.0,0.9443392654297614,0.9463327370304114,0.0,0.932364634608103,0.9336561513446795,0.0
6,10,0.8580903790087463,"7,11,16,18,22,23,24,25,26,27","0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0",38.98461103439331,0.806347027641045,0.8049725807116646,0.0,0.848589549413101,0.8548138143932086,0.0,0.750070995834911,0.7478005865102639,0.0,0.9461378265808406,0.9488095238095238,0.0,0.9440316168118137,0.9440316168118137,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9425407042786823,0.9438628972916518,0.0
7,9,0.856908942979185,"1,6,18,22,23,24,25,26,28","0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0",37.1035430431366,0.8491575160923892,0.849677966001268,0.0,0.8402120408936009,0.846780086846762,0.0,0.7485800833017797,0.7470826275174101,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9404344945096554,0.9391236639059957,0.0,0.9425407042786823,0.9438628972916518,0.0,0.9425407042786823,0.9438628972916518,0.0
8,10,0.845859041290935,"1,2,3,14,22,23,24,25,26,29","0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0",38.79851531982422,0.8350766755017038,0.8330745341614907,0.0,0.8315268837561529,0.8369359120212363,0.0,0.7590638015903066,0.7586767094963816,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9422330556607346,0.9415743612464924,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9377603180613404,0.9410393528040587,0.0
9,9,0.8668113092413045,"9,19,20,22,23,24,25,26,29","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0",37.61430621147156,0.8374905338886786,0.8389982110912344,0.0,0.868634040136312,0.8735863206839658,0.0,0.7551590306702007,0.7528445747800586,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9368373722074972,0.9342414831545267,0.0,0.9425407042786823,0.9438628972916518,0.0,0.9392512305944718,0.9412215691285459,0.0
10,9,0.863309376906909,"2,15,22,23,24,25,26,29,31","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1",38.07981014251709,0.8458680424081787,0.8468988107954141,0.0,0.8503881105641802,0.8571678775690155,0.0,0.7572652404392275,0.7564946556239824,0.0,0.9392512305944718,0.9412215691285459,0.0,0.9386359333585763,0.936679409321969,0.0,0.9443392654297614,0.9463327370304114,0.0,0.9407421431276032,0.9413998850513418,0.0
